Loinc Long Common Name	Score	Candidate HPO Class URI	Candidate HPO Class Label	Candidate HPO Class Definition
Specific gravity of Urine	80	http://purl.obolibrary.org/obo/HP_0003565	Elevated erythrocyte sedimentation rate	An increased erythrocyte sedimentation rate (ESR). The ESR a test that measures the distance that erythrocytes have fallen after one hour in a vertical column of anticoagulated blood under the influence of gravity. The ESR is a nonspecific finding. An elevation may indicate inflammation or may be caused by any condition that elevates fibrinogen.
Basophils [#/volume] in Blood	80	http://purl.obolibrary.org/obo/MPATH_4	necrosis	Morpholological changes after intravital (Pathologic) death of one or more cells, or of a portion of tissue or organ, resulting from irreversible damage;characterised by mitochondrial swelling, nuclear pyknosis, karyolysis, swollen and abnormally pale basophilic staining; or karyorrhexis, rupture and fragmentation of the nucleus. Energy independent cf. Apoptosis MPATH 3.
Basophils [#/volume] in Blood	80	http://purl.obolibrary.org/obo/HP_0001912	Abnormality of basophils	A basophils abnormality.
Monocytes [#/volume] in Blood	80	http://purl.obolibrary.org/obo/HP_0012144	Abnormality of cells of the monocyte/macrophage lineage	
Monocytes [#/volume] in Blood	80	http://purl.obolibrary.org/obo/HP_0012310	Abnormal monocyte count	An anomaly in the number of monocytes, which are myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells.
Monocytes [#/volume] in Blood	80	http://purl.obolibrary.org/obo/HP_0012311	Monocytosis	An increased number of circulating monocytes.
Monocytes [#/volume] in Blood	80	http://purl.obolibrary.org/obo/HP_0012312	Monocytopenia	An decreased number of circulating monocytes.
Large unstained cells/100 leukocytes in Blood by Automated count	Too many (20) classes are found. List top 15 only
Large unstained cells/100 leukocytes in Blood by Automated count	84	http://purl.obolibrary.org/obo/NCIT_C3099	Hepatocellular Carcinoma	A malignant tumor that arises from hepatocytes. Hepatocellular carcinoma is relatively rare in the United States but very common in all African countries south of the Sahara and in Southeast Asia. Most cases are seen in patients over the age of 50 years, but this tumor can also occur in younger individuals and even in children. Hepatocellular carcinoma is more common in males than females and is associated with hepatitis B, hepatitis C, chronic alcohol abuse and cirrhosis. Serum elevation of alpha-fetoprotein occurs in a large percentage of patients with hepatocellular carcinoma. Grossly, hepatocellular carcinoma may present as a single mass, as multiple nodules, or as diffuse liver involvement. Microscopically, there is a wide range of differentiation from tumor to tumor (well differentiated to poorly differentiated tumors). Hepatocellular carcinomas quickly metastasize to regional lymph nodes and lung. The overall median survival of untreated liver cell carcinoma is about 4 months. The most effective treatment of hepatocellular carcinoma is complete resection of the tumor. Lately, an increasing number of tumors have been treated with liver transplantation.
Large unstained cells/100 leukocytes in Blood by Automated count	84	http://purl.obolibrary.org/obo/HP_0012238	Increased circulating chylomicron levels	Increased plasma concentrations of chylomicrons, the large lipid droplet (up to 100 mm in diameter) of reprocessed lipid synthesized in epithelial cells of the small intestine and containing triacylglycerols, cholesterol esters, and several apolipoproteins.
Large unstained cells/100 leukocytes in Blood by Automated count	84	http://purl.obolibrary.org/obo/HP_0031242	Decreased circulating chylomicron levels	Reduced plasma concentrations of chylomicrons, the large lipid droplet (up to 100 mm in diameter) of reprocessed lipid synthesized in epithelial cells of the small intestine and containing triacylglycerols, cholesterol esters, and several apolipoproteins.
Large unstained cells/100 leukocytes in Blood by Automated count	64	http://purl.obolibrary.org/obo/NCIT_C3188	Leydig Cell Tumor	A sex cord-stromal tumor occurring in the testis and rarely in the ovary. It is predominantly or completely composed of Leydig cells which may contain crystals of Reinke. In males it usually presents as a painless testicular enlargement and it may be associated with gynecomastia and decreased libido. The majority of the cases have a benign clinical course. Approximately 10% of the cases have a malignant clinical course and metastasize. In females it may be associated with androgenic manifestations and it follows a benign clinical course.
Large unstained cells/100 leukocytes in Blood by Automated count	64	http://purl.obolibrary.org/obo/NCIT_C36207	Digestive System Adenoma	A sporadic or less frequently familial neoplasm, arising from the glandular epithelium of the stomach, small intestine, biliary tract, colon, and rectum.  It is a polypoid or flat circumscribed lesion.  Morphologically, it is characterized by a proliferation of neoplastic glandular cells and it is associated with dysplasia.  According to the growth pattern, it may be classified as tubular, villous, or tubulovillous.  The dysplasia is classified as mild, moderate, or severe.  The frequency of malignant transformation depends on the size of the lesion and the degree of dysplasia.  Larger adenomas with severe dysplastic changes (sometimes called carcinoma in situ) carry a higher risk of progressing to invasive adenocarcinoma. Gastrointestinal adenomas may present as solitary or multifocal lesions.  Familial adenomas tend to be multifocal and carry a higher risk of malignant transformation.
Large unstained cells/100 leukocytes in Blood by Automated count	64	http://purl.obolibrary.org/obo/NCIT_C3754	Gonadoblastoma	A mixed germ cell/sex cord-stromal tumor characterized by the presence of large germ cells which resemble seminoma cells and small cells which resemble Sertoli or granulosa cells. It occurs in the testis and the ovary and is identified in children and adults. It is often associated with gonadal dysgenesis and abnormal karyotype.
Large unstained cells/100 leukocytes in Blood by Automated count	64	http://purl.obolibrary.org/obo/HP_0031202	Waxy casts	A type of acellular urinary casts that display a melted wax (waxy) appearance, which gives them a high refractive index. They are frequently dark, with blunt extremities, indented and cracked edges and a large size, which is often several times that of other types of casts.
Large unstained cells/100 leukocytes in Blood by Automated count	64	http://purl.obolibrary.org/obo/HP_0002251	Aganglionic megacolon	An abnormality resulting from a lack of intestinal ganglion cells (i.e., an aganglionic section of bowel) that results in bowel obstruction with enlargement of the colon.
Large unstained cells/100 leukocytes in Blood by Automated count	64	http://purl.obolibrary.org/obo/HP_0030105	Abnormal muscle fiber delta sarcoglycan	Deviation from normal in the amount of delta sarcoglycan in muscle. The alpha, beta, gamma, and delta sarcoglycans are components of the dystrophin-complex. They are all N-glycosylated transmembrane proteins with a short intra-cellular domain, a single transmembrane region and a large extra-cellular domain containing a cluster of conserved cysteines.
Large unstained cells/100 leukocytes in Blood by Automated count	64	http://purl.obolibrary.org/obo/HP_0030069	Primary central nervous system lymphoma	A form of extranodal, high-grade non-Hodgkin B-cell neoplasm, usually large cell or immunoblastic type that originates in the brain, leptomeninges, spinal cord, or eyes and typically remains confined to the CNS.
Large unstained cells/100 leukocytes in Blood by Automated count	64	http://purl.obolibrary.org/obo/HP_0001982	Sea-blue histiocytosis	An abnormality of histiocytes, in which the cells take on a sea blue appearance due to abnormally increased lipid content. Histiocytes are a type of macrophage. Sea-blue histiocytes are typically large macrophages from 20 to 60 micrometers in diameter with a single eccentric nucleus whose cytoplasm if packed with sea-blue or blue-green granules when stained with Wright-Giemsa.
Large unstained cells/100 leukocytes in Blood by Automated count	64	http://purl.obolibrary.org/obo/HP_0000493	Abnormality of the fovea	An abnormality of the fovea centralis, the central area of the macula that mediates central, high resolution vision and contains the largest concentration of cone cells in the retina.
Large unstained cells/100 leukocytes in Blood by Automated count	64	http://purl.obolibrary.org/obo/HP_0030360	Large cell lung carcinoma	A type of non-small cell lung carcinoma that is derived from undifferentiated malignant neoplasms originating from transformed epithelial cells in the lung, and which is differentiate from small-cell lung carcinoma by the larger size of the anaplastic cells, a higher cytoplasmic-to-nuclear size ratio, and a lack of salt-and-pepper appearance of the chromatin.
Large unstained cells/100 leukocytes in Blood by Automated count	64	http://purl.obolibrary.org/obo/HP_0030104	Abnormal muscle fiber gamma sarcoglycan	Deviation from normal in the amount of gamma sarcoglycan in muscle. The alpha, beta, gamma, and delta sarcoglycans are components of the dystrophin-complex. They are all N-glycosylated transmembrane proteins with a short intra-cellular domain, a single transmembrane region and a large extra-cellular domain containing a cluster of conserved cysteines.
Large unstained cells/100 leukocytes in Blood by Automated count	64	http://purl.obolibrary.org/obo/HP_0030103	Abnormal muscle fiber beta sarcoglycan	Deviation from normal in the amount of beta sarcoglycan in muscle. The alpha, beta, gamma, and delta sarcoglycans are components of the dystrophin-complex. They are all N-glycosylated transmembrane proteins with a short intra-cellular domain, a single transmembrane region and a large extra-cellular domain containing a cluster of conserved cysteines.
Leukocyte esterase [Presence] in Urine by Test strip	65	http://purl.obolibrary.org/obo/HP_0011893	Abnormal leukocyte count	Number of leukocytes per volume of blood beyond normal limits.
Leukocyte esterase [Presence] in Urine by Test strip	65	http://purl.obolibrary.org/obo/HP_0004852	Reduced leukocyte alkaline phosphatase	A decreased alkaline phosphatase activity measured within leukocytes.
Leukocyte esterase [Presence] in Urine by Test strip	65	http://purl.obolibrary.org/obo/HP_0011113	Abnormality of cytokine secretion	An abnormality in the production or cellular release of a cytokine (i.e., any of the non-antibody proteins made by inflammatory leukocytes and some non-leukocytic cells that affect the behavior of other cells).
Leukocyte esterase [Presence] in Urine by Test strip	65	http://purl.obolibrary.org/obo/HP_0001974	Leukocytosis	An abnormal increase in the number of leukocytes in the blood.
Leukocyte esterase [Presence] in Urine by Test strip	65	http://purl.obolibrary.org/obo/HP_0001881	Abnormality of leukocytes	An abnormality of leukocytes.
Leukocyte esterase [Presence] in Urine by Test strip	65	http://purl.obolibrary.org/obo/HP_0001882	Leukopenia	An abnormal decreased number of leukocytes in the blood.
Leukocyte esterase [Presence] in Urine by Test strip	65	http://purl.obolibrary.org/obo/HP_0003358	Elevated intracellular cystine	An increased concentration of cystine within cells. This finding can be demonstrated on leukocytes, but is not specific to blood cells.
Leukocyte esterase [Presence] in Urine by Test strip	65	http://purl.obolibrary.org/obo/HP_0011112	Abnormality of serum cytokine level	Abnormality of the cytokine levels in the blood, i.e., an abnormality of any of the non-antibody proteins made by inflammatory leukocytes and some non-leukocytic cells that affect the behavior of other cells.
Leukocyte esterase [Presence] in Urine by Test strip	65	http://purl.obolibrary.org/obo/HP_0008161	Absent leukocyte alkaline phosphatase	A decrease in alkaline phosphatase activity measured within leukocytes below detectable levels .
Leukocyte esterase [Presence] in Urine by Test strip	65	http://purl.obolibrary.org/obo/HP_0011123	Inflammatory abnormality of the skin	The presence of inflammation of the skin. That is, an abnormality of the skin resulting from the local accumulation of fluid, plasma proteins, and leukocytes.
Leukocyte esterase [Presence] in Urine by Test strip	65	http://purl.obolibrary.org/obo/HP_0008166	Decreased beta-galactosidase activity	Abnormally decreased rate of beta-galactosidase activity. Beta-galactosidase activity can be measured in leukocyte, fibroblast, or plasma.
Leukocyte esterase [Presence] in Urine by Test strip	65	http://purl.obolibrary.org/obo/HP_0008318	Elevated leukocyte alkaline phosphatase	An increased alkaline phosphatase activity measured within leukocytes.
Leukocyte esterase [Presence] in Urine by Test strip	65	http://purl.obolibrary.org/obo/HP_0001909	Leukemia	A cancer of the blood and bone marrow characterized by an abnormal proliferation of leukocytes.
Leukocyte esterase [Presence] in Urine by Test strip	65	http://purl.obolibrary.org/obo/HP_0012410	Pure red cell aplasia	A type of anemia resuting from suppression of erythropoiesis with little or no abnormality of leukocyte or platelet production. Erythroblasts are virtually absent in bone marrow; however, leukocyte and platelet production show little or no reduction.
Leukocyte esterase [Presence] in Urine by Test strip	65	http://purl.obolibrary.org/obo/HP_0010974	Abnormality of myeloid leukocytes	An abnormality of myeloid leukocytes.
Hypochromia [Presence] in Blood by Light microscopy	No HPO classes are found
 Lymphocytes/100 leukocytes in Blood	85	http://purl.obolibrary.org/obo/HP_0001888	Lymphopenia	A reduced number of lymphocytes in the blood.
Lymphocytes/100 leukocytes in Blood	85	http://purl.obolibrary.org/obo/HP_0010997	Chromosomal breakage induced by ionizing radiation	Increased amount of chromosomal breaks in cultured blood lymphocytes or other cells induced by treatment with ionizing radiation.
Lymphocytes/100 leukocytes in Blood	85	http://purl.obolibrary.org/obo/HP_0003221	Chromosomal breakage induced by crosslinking agents	Increased amount of chromosomal breaks in cultured blood lymphocytes or other cells induced by treatment with DNA cross-linking agents such as diepoxybutane and mitomycin C.
Lymphocytes/100 leukocytes in Blood	85	http://purl.obolibrary.org/obo/HP_0100827	Lymphocytosis	Increase in the number or proportion of lymphocytes in the blood.
Anisocytosis [Presence] in Blood by Light microscopy	80	http://purl.obolibrary.org/obo/HP_0011273	Anisocytosis	Abnormally increased variability in the size of erythrocytes.
Erythrocytes [#/volume] in Body fluid by Automated count	Too many (30) classes are found. List top 15 only
Erythrocytes [#/volume] in Body fluid by Automated count	80	http://purl.obolibrary.org/obo/MPATH_198	immune mediated hemolytic anaemia	An anemic/erythrocytopenic condition resulting from an increased rate of immune mediated erythrocyte destruction.
Erythrocytes [#/volume] in Body fluid by Automated count	80	http://purl.obolibrary.org/obo/HP_0004840	Hypochromic microcytic anemia	A type of anemia characterized by an abnormally low concentration of hemoglobin in the erythrocytes and lower than normal size of the erythrocytes.
Erythrocytes [#/volume] in Body fluid by Automated count	80	http://purl.obolibrary.org/obo/HP_0004447	Poikilocytosis	The presence of abnormally shaped erythrocytes.
Erythrocytes [#/volume] in Body fluid by Automated count	80	http://purl.obolibrary.org/obo/HP_0025109	Reduced red cell pyruvate kinase activity@en	Decrease in the activity of pyruvate kinase (PK) within erythrocytes. PK catalyzes the reaction: ATP + pyruvate = ADP + phosphoenolpyruvate.
Erythrocytes [#/volume] in Body fluid by Automated count	80	http://purl.obolibrary.org/obo/HP_0025022	Decreased erythrocyte sedimentation rate@en	A reduced erythrocyte sedimentation rate (ESR). The ESR is a test that measures the distance that erythrocytes have fallen after one hour in a vertical column of anticoagulated blood under the influence of gravity. The ESR is a nonspecific finding. A decreased ESR may be seen in polycythemia or in certain blood diseases in which red blood cells have an irregular or smaller shape that causes slower settling.
Erythrocytes [#/volume] in Body fluid by Automated count	80	http://purl.obolibrary.org/obo/HP_0025065	Abnormal erythrocyte volume@en	A deviation from normal of the mean corpuscular volume, or mean cell volume (MCV) of red blood cells, usually taken to be 80 to 100 femtoliters.
Erythrocytes [#/volume] in Body fluid by Automated count	80	http://purl.obolibrary.org/obo/HP_0012130	Abnormality of cells of the erythroid lineage	An anomaly of erythroid lineage cells, that is, of the erythropoietic cells in the lineage leading to and including erythrocytes.
Erythrocytes [#/volume] in Body fluid by Automated count	80	http://purl.obolibrary.org/obo/HP_0025021	Abnormal erythrocyte sedimentation rate@en	A deviation from normal range of the erythrocyte sedimentation rate (ESR), a test that measures the distance that erythrocytes have fallen after one hour in a vertical column of anticoagulated blood under the influence of gravity. The ESR is a nonspecific finding. An elevation may indicate inflammation or may be caused by any condition that elevates fibrinogen. A decreased ESR may be seen in polycythemia or in certain blood diseases in which red blood cells have an irregular or smaller shape that causes slower settling.
Erythrocytes [#/volume] in Body fluid by Automated count	80	http://purl.obolibrary.org/obo/HP_0001923	Reticulocytosis	An elevation in the number of reticulocytes (immature erythrocytes) in the peripheral blood circulation.
Erythrocytes [#/volume] in Body fluid by Automated count	80	http://purl.obolibrary.org/obo/HP_0004857	Hyperchromic macrocytic anemia	A type of anemia cahracterized by abnormally large erythrocytes with abnormally high amounts of haemoglobin.
Erythrocytes [#/volume] in Body fluid by Automated count	80	http://purl.obolibrary.org/obo/HP_0012187	Increased erythrocyte protoporphyrin concentration	An increased concentration of protoporphyrins in erythrocytes.
Erythrocytes [#/volume] in Body fluid by Automated count	80	http://purl.obolibrary.org/obo/HP_0011273	Anisocytosis	Abnormally increased variability in the size of erythrocytes.
Erythrocytes [#/volume] in Body fluid by Automated count	80	http://purl.obolibrary.org/obo/HP_0004856	Normochromic microcytic anemia	A type of anemia characterized by an normal concentration of hemoglobin in the erythrocytes and lower than normal size of the erythrocytes.
Erythrocytes [#/volume] in Body fluid by Automated count	80	http://purl.obolibrary.org/obo/HP_0004823	Anisopoikilocytosis	A type of poikilocytosis characterized by the presence in the blood of erythrocytes of varying sizes and abnormal shapes.
Erythrocytes [#/volume] in Body fluid by Automated count	80	http://purl.obolibrary.org/obo/HP_0001903	Anemia	A reduction in erythrocytes volume or hemoglobin concentration.
Monocytes/100 leukocytes in Blood	80	http://purl.obolibrary.org/obo/HP_0012310	Abnormal monocyte count	An anomaly in the number of monocytes, which are myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells.
Monocytes/100 leukocytes in Blood	65	http://purl.obolibrary.org/obo/HP_0012144	Abnormality of cells of the monocyte/macrophage lineage	
Monocytes/100 leukocytes in Blood	65	http://purl.obolibrary.org/obo/HP_0012311	Monocytosis	An increased number of circulating monocytes.
Monocytes/100 leukocytes in Blood	65	http://purl.obolibrary.org/obo/HP_0012312	Monocytopenia	An decreased number of circulating monocytes.
Hemoglobin A1c/Hemoglobin.total in Blood	Too many (20) classes are found. List top 15 only
Hemoglobin A1c/Hemoglobin.total in Blood	100	http://purl.obolibrary.org/obo/HP_0040217	Elevated hemoglobin A1c	An increased concentration of hemoglobin A1c (HbA1c), which is the product of nonenzymatic attachment of a hexose molecule to the N-terminal amino acid of the hemoglobin molecule. This reaction is dependent on blood glucose concentration, and therefore reflects the mean glucose concentration over the previous 8 to 12 weeks. The HbA1c level provides a better indication of long-term glycemic control than one-time blood or urinary glucose measurements.
Hemoglobin A1c/Hemoglobin.total in Blood	90	http://purl.obolibrary.org/obo/HP_0025548	Increased mean corpuscular hemoglobin@en	An eklevation over the normal range of the average amount of hemoglobin per red blood cell (27 to 31 picograms/cell).
Hemoglobin A1c/Hemoglobin.total in Blood	90	http://purl.obolibrary.org/obo/HP_0045048	Increased HbA2 hemoglobin	An elevated concentration in the blood of hemoglobin A2 (HbA2), which is a normal variant of hemoglobin A that consists of two alpha and two delta chains and is normally present at low levels in adults but may be increased in beta thalassemia.
Hemoglobin A1c/Hemoglobin.total in Blood	90	http://purl.obolibrary.org/obo/HP_0025547	Decreased mean corpuscular hemoglobin@en	A reduction from the normal range of the average amount of hemoglobin per red blood cell (27 to 31 picograms/cell). A reduced mean corpuscular hemoglobin (MCH) may indicate a hypochromic anemia, but the MCH may be normal if both the total hemoglobin and the red blood cell count are reduced.
Hemoglobin A1c/Hemoglobin.total in Blood	90	http://purl.obolibrary.org/obo/HP_0025546	Abnormal mean corpuscular hemoglobin@en	A deviation from the normal range of the average amount of hemoglobin per red blood cell (27 to 31 picograms/cell). A reduced mean corpuscular hemoglobin (MCH) may indicate a hypochromic anemia, but the MCH may be normal if both the total hemoglobin and the red blood cell count are reduced.
Hemoglobin A1c/Hemoglobin.total in Blood	90	http://purl.obolibrary.org/obo/HP_0005511	Heinz body anemia	Anemia characterized by abnormal intracellular inclusions, composed of denatured hemoglobin, found on the membrane of red blood cells.
Hemoglobin A1c/Hemoglobin.total in Blood	90	http://purl.obolibrary.org/obo/HP_0012119	Methemoglobinemia	Abnormally increased levels of Methemoglobinemia in the blood. In this form of hemoglobin, there is an oxidized ferric iron (Fe +3) rather than the reduced ferrous form (Fe 2+) that is normally found in hemoglobin. Methemoglobin has a reduced affinity for oxygen, resulting in a reduced ability to release oxygen to tissues.
Hemoglobin A1c/Hemoglobin.total in Blood	70	http://purl.obolibrary.org/obo/HP_0001900	Increased hemoglobin	
Hemoglobin A1c/Hemoglobin.total in Blood	70	http://purl.obolibrary.org/obo/HP_0011902	Abnormal hemoglobin	Anomaly in the level or the function of hemoglobin, the oxygen-carrying protein of erythrocytes.
Hemoglobin A1c/Hemoglobin.total in Blood	70	http://purl.obolibrary.org/obo/HP_0004840	Hypochromic microcytic anemia	A type of anemia characterized by an abnormally low concentration of hemoglobin in the erythrocytes and lower than normal size of the erythrocytes.
Hemoglobin A1c/Hemoglobin.total in Blood	70	http://purl.obolibrary.org/obo/HP_0004825	Increased hemoglobin oxygen affinity	An abnormal increase in the binding affinity of hemoglobin for oxygen.
Hemoglobin A1c/Hemoglobin.total in Blood	70	http://purl.obolibrary.org/obo/HP_0005507	Hemoglobin Barts	Normal adult hemoglobin is composed of two chains each of alpha and beta globin. Hb Barts (Hemoglobin Barts) is a tetramer with four gamma globin chains, and is essentially pathognomonic for one or another form of alpha thalassemia. Hb Barts has an extremely high affinity for oxygen, resulting in almost no oxygen delivery to the tissues.
Hemoglobin A1c/Hemoglobin.total in Blood	70	http://purl.obolibrary.org/obo/HP_0004856	Normochromic microcytic anemia	A type of anemia characterized by an normal concentration of hemoglobin in the erythrocytes and lower than normal size of the erythrocytes.
Hemoglobin A1c/Hemoglobin.total in Blood	70	http://purl.obolibrary.org/obo/HP_0001903	Anemia	A reduction in erythrocytes volume or hemoglobin concentration.
Hemoglobin A1c/Hemoglobin.total in Blood	70	http://purl.obolibrary.org/obo/HP_0001972	Macrocytic anemia	A type of anemia characterized by increased size of erythrocytes with increased mean corpuscular volume (MCV) and increased mean corpuscular hemoglobin (MCH).
Protein [Presence] in Urine by Test strip	100	http://purl.obolibrary.org/obo/HP_0012595	Mild proteinuria	Mildly increased levels of protein in the urine (150-500 mg per day in adults).
Protein [Presence] in Urine by Test strip	100	http://purl.obolibrary.org/obo/HP_0012597	Heavy proteinuria	Severely increased levels of protein in the urine (1000-3000 mg per day in adults).
Protein [Presence] in Urine by Test strip	100	http://purl.obolibrary.org/obo/HP_0003126	Low-molecular-weight proteinuria	Excretion in urine of proteins of a size smaller than albumin (molecular weight 69 kD).
Protein [Presence] in Urine by Test strip	100	http://purl.obolibrary.org/obo/HP_0000093	Proteinuria	Increased levels of protein in the urine.
Protein [Presence] in Urine by Test strip	100	http://purl.obolibrary.org/obo/HP_0010471	Oligosacchariduria	Increased urinary excretion of oligosaccharides (low molecular weight carbohydrate chains composed of at least three monosaccharide subunits), derived from a partial degradation of glycoproteins.
Protein [Presence] in Urine by Test strip	100	http://purl.obolibrary.org/obo/HP_0012593	Nephrotic range proteinuria	Severely increased amount of excretion of protein in the urine, defined as 3.5 grams per day or more in adults and 40 mg per meter-squared body surface area per hour in children.
Protein [Presence] in Urine by Test strip	100	http://purl.obolibrary.org/obo/HP_0031200	Hyaline casts	A type of acellular urinary cast that are composed only of Tamm-Horsfall glycoprotein, a fact which explains their low refractive index. Hyaline casts may display a spectrum of morphologies, which includes fluffy, compact, convoluted or wrinkled casts. Hyaline casts have a smooth texture and usually have parallel sides with clear margins and blunted ends.
Protein [Presence] in Urine by Test strip	100	http://purl.obolibrary.org/obo/HP_0012596	Moderate proteinuria	Moderately increased levels of protein in the urine (500-1000 mg per day in adults).
Clarity of Urine	80	http://purl.obolibrary.org/obo/HP_0007957	Corneal opacity	A reduction of corneal clarity.
Nitrite [Mass/volume] in Urine by Test strip	30	http://purl.obolibrary.org/obo/CHEBI_16301	nitrite	
Color of Stone	100	http://purl.obolibrary.org/obo/HP_0011980	Cholesterol gallstones	Gallstones composed primarily of cholesterol, usually about 2-3 cm in length with an oval form and a yellow or green/brown color.
Ketones [Presence] in Urine by Test strip	100	http://purl.obolibrary.org/obo/HP_0002919	Ketonuria	High levels of ketone bodies in the urine.
Ketones [Presence] in Urine by Test strip	100	http://purl.obolibrary.org/obo/HP_0025157	Increased urinary sedoheptulose@en	An increased concentration of sedoheptulose inthe urine. Sedoheptulose is a monosaccharide with seven carbon atoms and a ketone functional group.
Ketones [Presence] in Urine by Test strip	80	http://purl.obolibrary.org/obo/HP_0001985	Hypoketotic hypoglycemia	A decreased concentration of glucose in the blood associated with a reduced concentration of ketone bodies.
Ketones [Presence] in Urine by Test strip	80	http://purl.obolibrary.org/obo/HP_0001953	Diabetic ketoacidosis	A type of diabetic metabolic abnormality with an accumulation of ketone bodies.
Ketones [Presence] in Urine by Test strip	80	http://purl.obolibrary.org/obo/HP_0001946	Ketosis	Presence of elevated levels of ketone bodies in the body.
Ketones [Presence] in Urine by Test strip	80	http://purl.obolibrary.org/obo/HP_0012734	Ketotic hypoglycemia	Low blood glucose is accompanied by elevated levels of ketone bodies in the body.
Bilirubin.total [Presence] in Urine by Test strip	80	http://purl.obolibrary.org/obo/HP_0011981	Pigment gallstones	Gallstones composed primarily of bilirubin and calcium salts (calcium bilirubinate) with a low cholesterol concentration.
Bilirubin.total [Presence] in Urine by Test strip	80	http://purl.obolibrary.org/obo/HP_0002904	Hyperbilirubinemia	An increased amount of bilirubin in the blood.
Bilirubin.total [Presence] in Urine by Test strip	80	http://purl.obolibrary.org/obo/HP_0003573	Increased total bilirubin	Increased concentration of total (conjugated and unconjugated) bilirubin in the blood.
Bilirubin.total [Presence] in Urine by Test strip	80	http://purl.obolibrary.org/obo/HP_0001343	Kernicterus	Damage to cerebral nuclei caused in infants by highly increased levels of unconjugated bilirubin. The basal ganglia and brainstem nuclei could be shown to have a yellow staining historically in infants who died of kernicterus, that is, kernicterus is strictly speaking a pathological diagnosis. The presence of kernicterus may be inferred in infants with characteristic acute or chronic bilirubin-induced neurological dysfunction.
Bilirubin.total [Presence] in Urine by Test strip	80	http://purl.obolibrary.org/obo/HP_0006579	Prolonged neonatal jaundice	Neonatal jaundice refers to a yellowing of the skin and other tissues of a newborn infant as a result of increased concentrations of bilirubin in the blood. Neonatal jaundice affects over half of all newborns to some extent in the first week of life. Prolonged neonatal jaundice is said to be present if the jaundice persists for longer than 14 days in term infants and 21 days in preterm infants.
Bilirubin.total [Presence] in Urine by Test strip	80	http://purl.obolibrary.org/obo/HP_0000952	Jaundice	Yellow pigmentation of the skin or sclera due to bilirubin, which in turn is the result of increased bilirubin concentration in the bloodstream.
Cholesterol [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0031213	Elevated circulating 17-hydroxyprogesterone	An increased level of 17-hydroxyprogesterone in the blood. 17-hydroxyprogesterone is an intermediate steroid in the adrenal biosynthetic pathway from cholesterol to cortisol and is the substrate for steroid 21-hydroxylase.
Cholesterol [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0012238	Increased circulating chylomicron levels	Increased plasma concentrations of chylomicrons, the large lipid droplet (up to 100 mm in diameter) of reprocessed lipid synthesized in epithelial cells of the small intestine and containing triacylglycerols, cholesterol esters, and several apolipoproteins.
Cholesterol [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0010980	Hyperlipoproteinemia	An abnormal increase in the level of lipoprotein cholesterol in the blood.
Cholesterol [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0003146	Hypocholesterolemia	An decreased concentration of cholesterol in the blood.
Cholesterol [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0500010	Increased cholesterol esters	An elevated concentration of circulating cholesterol esters, which are fatty acid esters of cholesterol and make up about two-thirds of total plasma cholesterol.
Cholesterol [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0031242	Decreased circulating chylomicron levels	Reduced plasma concentrations of chylomicrons, the large lipid droplet (up to 100 mm in diameter) of reprocessed lipid synthesized in epithelial cells of the small intestine and containing triacylglycerols, cholesterol esters, and several apolipoproteins.
Cholesterol [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0031243	Decreased circulating very-low-density lipoprotein levels	A reduction in the amount of very-low-density lipoprotein cholesterol in the blood.
Cholesterol [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0003563	Decreased circulating low-density lipoprotein levels	An decreased concentration of low-density lipoprotein cholesterol in the blood.
Cholesterol [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0003362	Increased circulating very-low-density lipoprotein levels	An increase in the amount of very-low-density lipoprotein cholesterol in the blood.
Cholesterol [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0010981	Hypolipoproteinemia	An abnormal decrease in the level of lipoprotein cholesterol in the blood.
Cholesterol [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0012184	Increased circulating high-density lipoprotein levels	An elevated concentration of high-density lipoprotein cholesterol (HDL) in the blood.
Cholesterol [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0010979	Abnormality of the level of lipoprotein cholesterol	An abnormal increase or decrease in the level of lipoprotein cholesterol in the blood.
Cholesterol [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0003124	Hypercholesterolemia	An increased concentration of cholesterol in the blood.
